record_id,doi,sequence,entity_type,name,role,role_source_vocabulary,affiliation_as_deposited,orcid,source_url,notes
22761782,"10.5281/zenodo.22761782",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Pinnacle Global Research Consortium, Pinnacle Blooms Network, Bharath Healthcare Laboratories Pvt. Ltd.",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.22761782","Sole deposited creator"
22761810,"10.5281/zenodo.22761810",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Pinnacle Global Research Consortium, Pinnacle Blooms Network, Bharath Healthcare Laboratories Pvt. Ltd.",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.22761810","Sole deposited creator"
22761832,"10.5281/zenodo.22761832",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Pinnacle Global Research Consortium, Pinnacle Blooms Network, Bharath Healthcare Laboratories Pvt. Ltd.",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.22761832","Sole deposited creator"
19482476,"10.5281/zenodo.19482476",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Bharath Healthcare P LIMITED",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.19482476","Deposited creator order preserved"
19482476,"10.5281/zenodo.19482476",2,person,"Ramtenki, Raghupathi",creator,"Zenodo creator","TRR Institue of Medical Sciences",0000-0002-3357-2326,"https://doi.org/10.5281/zenodo.19482476","Deposited spelling preserved"
19482476,"10.5281/zenodo.19482476",3,person,"Boini, Srikanth Yadav",creator,"Zenodo creator","Omega PRK Hospitals",,"https://doi.org/10.5281/zenodo.19482476","No ORCID asserted in source metadata"
19482123,"10.5281/zenodo.19482123",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Bharath Healthcare P LIMITED",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.19482123","Deposited creator order preserved"
19482123,"10.5281/zenodo.19482123",2,person,"Ramtenki, Raghupathi",creator,"Zenodo creator","TRR Institute of Medical Sciences",0000-0002-3357-2326,"https://doi.org/10.5281/zenodo.19482123","Deposited creator order preserved"
19482123,"10.5281/zenodo.19482123",3,person,"Boini, Srikanth Yadav",creator,"Zenodo creator","Omega PRK Hospital",,"https://doi.org/10.5281/zenodo.19482123","No ORCID asserted in source metadata"
15487405,"10.5281/zenodo.15487405",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Pinnacle Global Research Consortium, Pinnacle Blooms Network, Bharath Healthcare Laboratories Pvt. Ltd.",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.15487405","Sole deposited creator"
15487405,"10.5281/zenodo.15487405",,person,"Saripalli, Sreeja Reddy",editor,"Zenodo contributor type: Editor","Pinnacle Blooms Network",,"https://doi.org/10.5281/zenodo.15487405","Editor role is not authorship"
15487405,"10.5281/zenodo.15487405",,organization,"Koti Group SEVA Foundation",research_group,"Zenodo contributor type: ResearchGroup","Koti Group",,"https://doi.org/10.5281/zenodo.15487405","Contributor role is not creator status or endorsement"
22827813,"10.5281/zenodo.22827813",1,person,"Saripalli, Koti Reddy",creator,"Zenodo creator","Bharath Healthcare Laboratories Private Limited, Pinnacle Blooms Network, Hyderabad, India",0009-0007-7866-0737,"https://doi.org/10.5281/zenodo.22827813","Deposited creator order preserved"
22827813,"10.5281/zenodo.22827813",2,person,"Ramtenki, Raghupathi",creator,"Zenodo creator","Department of Paediatrics, TRR Institute of Medical Sciences, Patancheru, Telangana, India",0000-0002-3357-2326,"https://doi.org/10.5281/zenodo.22827813","Deposited creator order preserved"
22827813,"10.5281/zenodo.22827813",3,person,"Boini, Srikanth Yadav",creator,"Zenodo creator","Department of Neurology, Omega PRK Hospital, Chandanagar, Hyderabad, Telangana, India",,"https://doi.org/10.5281/zenodo.22827813","No ORCID asserted in source metadata"
