"file","sha256","bytes","hash_scope"
"AUTHOR_CONTRIBUTOR_ROLE_MAP.csv","f64975507abc2a417c28a84a960665c686f2a59466afb6bf5d2d2420e7c7b5ec","3830","Repository file bytes before commit 2026-09-24"
"CANONICAL_ABSTRACT_BOUNDARY_NOTES.csv","7b536def68c2d37b9cacca50e04b00436ca29fe4d19acb7eb233bbdfb9b14388","2651","Repository file bytes before commit 2026-09-24"
"CANONICAL_CITATIONS_CSL.json","c184fe24f2fbf6e58e6e2468c8f71412131ce8e81e1099ccd5202d150973e78e","24426","Repository file bytes before commit 2026-09-24"
"CANONICAL_DOI_RESOLUTION_MANIFEST.csv","1236cb4766a10f3cb3b0924e2b37b1364c97a14e8f153cda07c123ab1e52ce0a","1567","Repository file bytes before commit 2026-09-24"
"CANONICAL_KEYWORD_MAP.csv","e97621f2e7e1df89338d2812de45d51df3994e369658aebce4a078c3ea9acccb","2257","Repository file bytes before commit 2026-09-24"
"CANONICAL_LICENSE_ACCESS_MATRIX.csv","225e2d6a00800584646dee679a06af055afbded75c95f77f967efaf0f0a99bdb","1935","Repository file bytes before commit 2026-09-24"
"CANONICAL_WORK_RELATIONSHIP_MAP.csv","47381184222b1bb2f9aa600165bb3282c0cd9eb0cc0dd0fd13c0cec367505d3d","1766","Repository file bytes before commit 2026-09-24"
"CANONICAL_WORK_STATUS_MATRIX.csv","0704869a02acadbc2bee4710ac9ca6038c3db037b3b979ad212eb394b9934960","2220","Repository file bytes before commit 2026-09-24"
"CITATION_AND_VERSION_GUIDE.md","ca2435f1d9f7ad1148ccf692af14afdeefc49dc43e5a50ba97719dc1e80fdb30","1721","Repository file bytes before commit 2026-09-24"
"EVIDENCE_STATUS_VOCABULARY.csv","9ced70e5e1238119b22c2f3fbff7ae0e2d4b1d6a1c441d0664378dae9410977c","4301","Repository file bytes before commit 2026-09-24"
"METADATA_QA_CHECKLIST.md","a6fd3b248622ccc41df27946ad39ddfd7e5388efe19382071fe003401843c7c5","1677","Repository file bytes before commit 2026-09-24"
"Pinnacle_Research_Library.ris","7f276fd04cb19cb4851add7cd0b1a1ac3670dd7533cb827204ecf68b4a62bc3f","2989","Repository file bytes before commit 2026-09-24"
"PORTFOLIO_DEDUPLICATION_RULES.md","b2cfb496293a2aacb2c89e68256da4c75d078cb6caa42ff4c901cd1f00e9ec44","1692","Repository file bytes before commit 2026-09-24"
"PUBLIC_VERIFICATION_PROTOCOL.md","787dfe2b669993f792bbec293382f6dcb7f04dc36004b8e3a3ef0daada3e6e28","1668","Repository file bytes before commit 2026-09-24"
"RESEARCH_METADATA_INDEX.md","22ab510eab756a1585fddd5d6826ff8e553117171f0efd45ec992d0531f7e739","3720","Repository file bytes before commit 2026-09-24"
"RESEARCH_RESOURCE_MAP.csv","463cbdbe147222e058a448697ebb8e5eb79c1fb83e6ee8b41dcb2944e4297c25","2437","Repository file bytes before commit 2026-09-24"
