destination,record_kind,public_url,identifier,identity_match_basis,appropriate_use,non_inference
ORCID,researcher identifier,https://orcid.org/0009-0007-7866-0737,0009-0007-7866-0737,Canonical ORCID carried by deposited Zenodo creators,Identity and work-source reconciliation,Work count is not the canonical study count
GitHub,canonical library,https://github.com/drkotireddysaripalli/pinnacle-research-library,drkotireddysaripalli/pinnacle-research-library,Repository ownership and public research files,Citation metadata methods and provenance,Repository resources are not new studies
Pinnacle Verification Centre,public evidence library,https://www.pinnacleblooms.org/verify/evidence/research-library.html,research-library,First-party research-library route,Public source discovery,First-party publication is not independent endorsement
OSF,researcher profile,https://osf.io/n98rg/,n98rg,Profile-linked ORCID and research-library evidence,Open-science profile discovery,Profile does not make a registration prospective
ResearchGate,researcher profile,https://www.researchgate.net/profile/Koti-Reddy-Saripalli,Koti-Reddy-Saripalli,Existing profile with canonical works represented,Research networking and work discovery,Item totals may include versions and are not peer review
Academia.edu,researcher profile,https://svuniversity.academia.edu/DrKotiSaripalli,DrKotiSaripalli,Existing profile with canonical paper routes,Paper and discussion discovery,Mirrors and discussions are not additional studies
ScienceOpen,researcher profile,https://www.scienceopen.com/user/b88b8c87-855f-4e59-b68c-474d9078277f,b88b8c87-855f-4e59-b68c-474d9078277f,Existing profile linked in the public library,Record discovery and correction,Displayed metadata must be checked against canonical DOI sources
OpenReview,researcher profile,https://openreview.net/profile?id=~Dr._Koti_Reddy_Saripalli1,~Dr._Koti_Reddy_Saripalli1,Canonical name ORCID and BHCL-linked profile,Research identity and Crossref import,Imported RCI version is not an eighth work
Web of Science,researcher identifier,https://www.webofscience.com/wos/author/record/RBA-8832-2026,RBA-8832-2026,Established ResearcherID,Researcher identity and bibliography,Non-indexed entries are not indexed publications
Frontiers Loop,researcher profile,https://loop.frontiersin.org/people/3711171/overview,3711171,Canonical displayed name and linked identity,Researcher discovery,ORCID linking does not synchronize works
Google Scholar,researcher profile,https://scholar.google.com/citations?user=OuHrlcsAAAAJ,OuHrlcsAAAAJ,Existing public profile identifier,Bibliography discovery,Counts require duplicate and version review
Research Data Alliance,member profile,https://www.rd-alliance.org/members/kotireddysaripalli/,kotireddysaripalli,Approved public member route,Open-research community participation,Membership is not research endorsement
Kudos,researcher profile,https://www.growkudos.com/profile/koti_reddy_saripalli,koti_reddy_saripalli,Existing contributor profile and RCI story route,Plain-language dissemination,A story is not peer review or independent evidence
