source_serial,institute_code,institution_label,source_name_address_excerpt,state_ut,source_page,source_y_top_pt,listing_scope
1,AP004,RASS College of Special Education,"RASS College of Special Education, | Rashtriya Seva Samiti, Seva Nilayram, Annamaiah Marg, | A.I.R. Bye – Pass Road, Tirupati, | Andhra Pradesh – 517501",Andhra Pradesh,1,90.11,listed_in_2026-02-04_register; current_activity_not_assessed
2,AP008,"Department of Special Education, Andhra University","Department of Special Education, Andhra University, | Vishakhapatnam Andhra Pradesh – 530003",Andhra Pradesh,1,156.47,listed_in_2026-02-04_register; current_activity_not_assessed
3,AP011,Sri Padmavathi Mahila Visvavidyalayam,"Sri Padmavathi Mahila Visvavidyalayam , Tirupati, Andhra | Pradesh – 517 502",Andhra Pradesh,1,200.87,listed_in_2026-02-04_register; current_activity_not_assessed
4,AP012,Helen Keller’s College of Special Education (HI),"Helen Keller’s College of Special Education (HI),10/72, | Near Shivalingam Beedi Factory, Bellary Road, Kadapa, | Andhra Pradesh – 516 001",Andhra Pradesh,1,263.03,listed_in_2026-02-04_register; current_activity_not_assessed
5,AP013,Navajeevan Residential Special School for the Deaf (HI),"Navajeevan Residential Special School for the Deaf (HI), | D.No. 4-174 S, Ayyalurimetta, Near Sugar Factory, | Ponnapuram Post, Nandyal, District – Kurnool, Andhra | Pradesh – 518502",Andhra Pradesh,1,347.75,listed_in_2026-02-04_register; current_activity_not_assessed
6,AP014,Sweekar Academy of Rehabilitation Sciences,"Sweekar Academy of Rehabilitation Sciences, | Dist. Government Hospital, Kadapa Dist., Andhra Pradesh",Andhra Pradesh,1,413.03,listed_in_2026-02-04_register; current_activity_not_assessed
7,AP016,Pragathi Charities College of Special Education,"Pragathi Charities College of Special Education, Ambapuram | (v), Nellore Rural Mandal, Nellore District, Andhra Pradesh – | 524004",Andhra Pradesh,1,455.87,listed_in_2026-02-04_register; current_activity_not_assessed
8,AP022,Uma Educational and Technical Society,"Uma Educational and Technical Society, Uma Manovikas | Nagar Behind Rayudupalem, Kakinada-533005, East | Godavari District, AP",Andhra Pradesh,1,519.35,listed_in_2026-02-04_register; current_activity_not_assessed
9,AP028,Dr. B.R. Ambedkar University,"Dr. B.R. Ambedkar University, Srikakulam, Etcheria – | 532410, Srikakulam District, Andhra Pradesh",Andhra Pradesh,1,579.95,listed_in_2026-02-04_register; current_activity_not_assessed
10,AP031,M.N.R College of Special Education,"M.N.R College of Special Education, Near D.S.P. Office, | Madhira Road, Nandigama, Krishna Dist. | Andhra Pradesh – 521185",Andhra Pradesh,1,624.23,listed_in_2026-02-04_register; current_activity_not_assessed
11,AP032,St. Ann’s College for DSE (MR),"St. Ann’s College for DSE (MR), | Gopavaram Village, Gajulapalli Via.Mahanadi Mandal, | Kurnool Dist. Andhra Pradesh – 518583",Andhra Pradesh,1,716.87,listed_in_2026-02-04_register; current_activity_not_assessed
12,AP033,Integrated Special Education,"Integrated Special Education, Vallappacheruvu Road, | Peddacheruvu, Narasaropet, Guntur District, | Andhra Pradesh – 522601",Andhra Pradesh,1,760.79,listed_in_2026-02-04_register; current_activity_not_assessed
13,AP034,Priyadarsini Service Organization,"Priyadarsini Service Organization, Sowbhagyarayapuram, | Pendurthi Mandal, Visakhapatnam District, Andhra Pradesh – | 531173",Andhra Pradesh,2,123.59,listed_in_2026-02-04_register; current_activity_not_assessed
14,AP035,Uma Educational and Technical Society,"Uma Educational and Technical Society, Parivartan | Spl.School for the Hearing Impaired, Dutta Ashram Road, | Srinagar, 2nd Lane, Senivarapupeta, Eluru, West Godavari | District, Andhra Pradesh – 534003",Andhra Pradesh,2,203.51,listed_in_2026-02-04_register; current_activity_not_assessed
15,AP036,Kasinadhuni Durgamba Butchaiah Trust,"Kasinadhuni Durgamba Butchaiah Trust, Elakurru, Via | nidumolu, Pamarru Mandal, Krishna District, Andhra Pradesh",Andhra Pradesh,2,270.47,listed_in_2026-02-04_register; current_activity_not_assessed
16,AP037,Chaitanya College for D.Ed. Bharathi Academic Rural Development Society (BARDS),"Chaitanya College for D.Ed. | Bharathi Academic Rural Development Society (BARDS), | H.NO : 21/451/B1, Vasavi Rice Mill Complex, Farooq Nagar, | Nandyal, Kurnool Dist., Andhra Pradesh– 518501",Andhra Pradesh,2,321.23,listed_in_2026-02-04_register; current_activity_not_assessed
17,AP038,St. Andrews College of Special Education,"St. Andrews College of Special Education, | #27-10-28, Governer Pet, Vijaywada, Andhra Pradesh- | 520002",Andhra Pradesh,2,407.99,listed_in_2026-02-04_register; current_activity_not_assessed
18,AP040,HELPING HANDS COLLEGE FOR DIPLOMA IN SPECIAL Education,"HELPING HANDS COLLEGE FOR DIPLOMA IN | SPECIAL Education, Peneelu Church, Marlapalem Road, | Gannavaram, | Krishna District, Andhra Pradesh – 521101",Andhra Pradesh,2,489.59,listed_in_2026-02-04_register; current_activity_not_assessed
19,AP041,S. V. College Of Special Education,"S. V. College Of Special Education, Kothuru, Vijayawada | Rural,Krishna District, Andhra Pradesh",Andhra Pradesh,2,539.27,listed_in_2026-02-04_register; current_activity_not_assessed
20,AP042,Composite Regional Centre,"Composite Regional Centre, Nellore | (C/o National Institute for the Empowerment of Persons with | Intellectual Disabilities (Divyangjan), Secundrabad) Kanupuru | Bit –II, Yerragunta Panchayat, Venkatachalam Mandal,SPSR | Nellore district, Andhra Pradesh-524320.",Andhra Pradesh,2,645.83,listed_in_2026-02-04_register; current_activity_not_assessed
21,AP043,B.G. College of Special Education,"B.G. College of Special Education, | D.No. 130/7- 3, Kallam Township Green City Phase -2, | piduguralla (Post & Mandal) District –Guntur, Andhra Pradesh | – 522413.",Andhra Pradesh,2,725.27,listed_in_2026-02-04_register; current_activity_not_assessed
22,AP044,Boggavarapu Guravaiah College of Special Education,"Boggavarapu Guravaiah College of Special | Education, Velpur Village, Atchampet Mandal , Guntur, Dist, | Andhra Pradesh-522410",Andhra Pradesh,3,136.19,listed_in_2026-02-04_register; current_activity_not_assessed
