institute_code,prior_label,final_label,source_page,change_reason
AP004,RASS College of Special Education,RASS College of Special Education,1,normalized label matched source text
AP008,"Department of Special Education, Andhra University","Department of Special Education, Andhra University",1,normalized label matched source text
AP011,Sri Padmavathi Mahila Visvavidyalayam,Sri Padmavathi Mahila Visvavidyalayam,1,normalized label matched source text
AP012,Helen Keller’s College of Special Education (HI),Helen Keller’s College of Special Education (HI),1,normalized label matched source text
AP013,Navajeevan Residential Special School for the Deaf (HI),Navajeevan Residential Special School for the Deaf (HI),1,normalized label matched source text
AP014,Sweekar Academy of Rehabilitation Sciences,Sweekar Academy of Rehabilitation Sciences,1,normalized label matched source text
AP016,Pragathi Charities College of Special Education,Pragathi Charities College of Special Education,1,normalized label matched source text
AP022,Uma Educational and Technical Society,Uma Educational and Technical Society,1,normalized label matched source text
AP028,Dr. B.R. Ambedkar University,Dr. B.R. Ambedkar University,1,normalized label matched source text
AP031,M.N.R College of Special Education,M.N.R College of Special Education,1,normalized label matched source text
AP032,St. Ann’s College for DSE (MR),St. Ann’s College for DSE (MR),1,normalized label matched source text
AP033,Integrated Special Education,Integrated Special Education,1,normalized label matched source text
AP034,Priyadarsini Service Organization,Priyadarsini Service Organization,2,normalized label matched source text
AP035,Uma Educational and Technical Society,Uma Educational and Technical Society,2,normalized label matched source text
AP036,Kasinadhuni Durgamba Butchaiah Trust,Kasinadhuni Durgamba Butchaiah Trust,2,normalized label matched source text
AP037,Chaitanya College for D.Ed. Bharathi Academic Rural Development Society (BARDS),Chaitanya College for D.Ed. Bharathi Academic Rural Development Society (BARDS),2,normalized label matched source text
AP038,St. Andrews College of Special Education,St. Andrews College of Special Education,2,normalized label matched source text
AP040,HELPING HANDS COLLEGE FOR DIPLOMA IN SPECIAL Education,HELPING HANDS COLLEGE FOR DIPLOMA IN SPECIAL Education,2,normalized label matched source text
AP041,S. V. College Of Special Education,S. V. College Of Special Education,2,normalized label matched source text
AP042,Composite Regional Centre,Composite Regional Centre,2,normalized label matched source text
AP043,B.G. College of Special Education,B.G. College of Special Education,2,normalized label matched source text
AP044,Boggavarapu Guravaiah College of Special Education,Boggavarapu Guravaiah College of Special Education,3,normalized label matched source text
AP045,UMA Educational And Techical Society,UMA Educational And Techical Society,3,normalized label matched source text
AP046,Vyshnavi Special Education Training Institute Tripurantakam,Vyshnavi Special Education Training Institute Tripurantakam,3,normalized label matched source text
AP047,Ambika Sishu Kendra,Ambika Sishu Kendra,3,normalized label matched source text
AP048,Indlas Hospitals D.No. -29-7-32,Indlas Hospitals D.No. -29-7-32,3,normalized label matched source text
AP049,The Apollo University The Apollo Knowledge City,The Apollo University The Apollo Knowledge City,3,normalized label matched source text
AP050,VISAKHAPATNAM SPEECH AND HEARING CHARITABLE TRUST,VISAKHAPATNAM SPEECH AND HEARING CHARITABLE TRUST,3,normalized label matched source text
AR001,Himalayan University,Himalayan University,3,normalized label matched source text
AR002,Hills College of Teacher Education,Hills College of Teacher Education,3,normalized label matched source text
AR003,Arunachal University of Studies,Arunachal University of Studies,3,normalized label matched source text
AR004,North East Regional Institute of Rehabilitation Science and Inclusion(NERI-RSI),North East Regional Institute of Rehabilitation Science and Inclusion(NERI-RSI),3,normalized label matched source text
AS002,"Shishu Sarothi, Centre for Rehabilitation and Training for Multiple Disability","Shishu Sarothi, Centre for Rehabilitation and Training for Multiple Disability",4,normalized label matched source text
AS003,Composite Regional Centre,Composite Regional Centre,4,normalized label matched source text
AS004,Lokopriya Gopinath Bordoli Regional Institute of Mental Health,Lokopriya Gopinath Bordoli Regional Institute of Mental Health,4,normalized label matched source text
AS005,Institute of Yoga and Nutrition Sciences (YNS) 2nd H.O Siddha Point,Institute of Yoga and Nutrition Sciences (YNS),4,corrected from source name/address column
AS007,National Institute of Public Cooperation and Child Development (NIPCCD),National Institute of Public Cooperation and Child Development (NIPCCD),4,normalized label matched source text
BR001,Indian Institute of Health Education and Research Health,Indian Institute of Health Education and Research Health,4,normalized label matched source text
BR002,J.M. Institute of Speech & Hearing,J.M. Institute of Speech & Hearing,4,normalized label matched source text
BR003,Training Centre for the Teachers of the Visually Handicapped,Training Centre for the Teachers of the Visually Handicapped,5,normalized label matched source text
BR005,Ayurvedic & Magnetotherapy Research Institute (A.M.R.I),Ayurvedic & Magnetotherapy Research Institute (A.M.R.I),5,normalized label matched source text
BR007,ECOVIC (Environmental Consultancy Vikash Centre),ECOVIC (Environmental Consultancy Vikash Centre),5,normalized label matched source text
BR009,J.M. Institute of Speech & Hearing,J.M. Institute of Speech & Hearing,5,normalized label matched source text
BR010,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,5,normalized label matched source text
BR012,Jawaharlal Nehru Medical College & Hospital,Jawaharlal Nehru Medical College & Hospital,5,normalized label matched source text
BR013,S.L. Roy Public Health & Research Institute,S.L. Roy Public Health & Research Institute,5,normalized label matched source text
BR014,Utakarsh Rehabilitation & Research Institute,Utakarsh Rehabilitation & Research Institute,6,normalized label matched source text
BR015,Rani Laxmi Mahila Vikas Samiti-Saphal,Rani Laxmi Mahila Vikas Samiti-Saphal,6,normalized label matched source text
BR016,S.S. College of Special Education,S.S. College of Special Education,6,normalized label matched source text
BR017,Dev Narayan Teacher Training Institute Chini Mill,Dev Narayan Teacher Training Institute Chini Mill,6,normalized label matched source text
BR018,Amity Institute of Clinical Psychology (AICP) Amiy University Bihar,Amity Institute of Clinical Psychology (AICP) Amiy University Bihar,6,normalized label matched source text
BR019,Narayan Paramedical Institute & Allied Sciences,Narayan Paramedical Institute & Allied Sciences,6,normalized label matched source text
CH001,Post Graduate Institute of Medical Education and Research,Post Graduate Institute of Medical Education and Research,6,normalized label matched source text
CH002,Government Rehabilitation Institute for Intellectual Disabilities (Regional Institute for the Mentally Handicapped) (RIMH),Government Rehabilitation Institute for Intellectual Disabilities (Regional Institute for the Mentally Handicapped) (RIMH),6,normalized label matched source text
CH003,Indian National Portage Association,Indian National Portage Association,6,normalized label matched source text
CH004,Department of Community Education & Disability Studies,Department of Community Education & Disability Studies,7,normalized label matched source text
CH005,Government Medical College & Hospital,Government Medical College & Hospital,7,normalized label matched source text
CG001,Lions Charitable Trust,Lions Charitable Trust,7,normalized label matched source text
CG002,AAKANKSHA Lions Institute of Learning and Empowerment,AAKANKSHA Lions Institute of Learning and Empowerment,7,normalized label matched source text
CG006,Post Graduate Institute of Behavioural & Medical Sciences,Post Graduate Institute of Behavioural & Medical Sciences,7,normalized label matched source text
CG007,Department of E.N.T,Department of E.N.T,7,normalized label matched source text
CG008,Department of Education,Department of Education,7,normalized label matched source text
CG009,Surguja Gyanodaya Association Oid State Bank Building,Surguja Gyanodaya Association Oid State Bank Building,7,normalized label matched source text
CG010,Piyali Foundation College For Special Education 1/10 Rajiv Nagar P.O Shankar Nagar,Piyali Foundation College For Special Education 1/10 Rajiv Nagar P.O Shankar Nagar,8,normalized label matched source text
CG011,School of Studies in Psychology Pt. Ravishankar Shukla University,School of Studies in Psychology Pt. Ravishankar Shukla University,8,normalized label matched source text
CG012,Composite Regional Centre for Skill Development,Composite Regional Centre for Skill Development,8,normalized label matched source text
CG013,PIYALI Teacher Training Institute Near Railway Crossing Ward No. 7 Tumgaon Road,PIYALI Teacher Training Institute Near Railway Crossing Ward No. 7 Tumgaon Road,8,normalized label matched source text
CG014,Central India Institute G.E. Road Dewada Chowk,Central India Institute G.E. Road Dewada Chowk,8,normalized label matched source text
CG015,Shri Rawatpura Sarkar University,Shri Rawatpura Sarkar University,8,normalized label matched source text
CG016,Amity Institute of Behavioural & Allied Sciences Baloda Bazaar Road,Amity Institute of Behavioural & Allied Sciences Baloda Bazaar Road,8,normalized label matched source text
CG017,All India Institute of Medical Sciences Tatibandh,All India Institute of Medical Sciences Tatibandh,8,normalized label matched source text
CG018,Kalinga University Village Kotni,Kalinga University Village Kotni,8,normalized label matched source text
DL001,Vardhman Mahavir Medical College,Vardhman Mahavir Medical College,8,normalized label matched source text
DL003,The Blind Relief Association,The Blind Relief Association,8,normalized label matched source text
DL005,Tamana Association (School of Hope),Tamana Association (School of Hope),8,normalized label matched source text
DL007,"Y.M.C.A., Teachers Training Institute for Special Education","Y.M.C.A., Teachers Training Institute for Special Education",9,normalized label matched source text
DL008,Amar Jyoti Rehabilitation and Research Centre Karkardooma,Amar Jyoti Rehabilitation and Research Centre Karkardooma,9,normalized label matched source text
DL009,Teachers Training Institute for Special Education (DSWSC),Teachers Training Institute for Special Education (DSWSC),9,normalized label matched source text
DL011,Jamia Millia Islamia,Jamia Millia Islamia,9,normalized label matched source text
DL012,C.B.S. Memorial Mahila,C.B.S. Memorial Mahila,9,normalized label matched source text
DL013,Action For Autism,Action For Autism,10,normalized label matched source text
DL014,Indian Spinal Injuries Centre,Indian Spinal Injuries Centre,10,normalized label matched source text
DL016,Pandit Deendayal Upadhayaya Institute for the Physically Handicapped 4,Pandit Deendayal Upadhayaya Institute for the Physically Handicapped 4,10,normalized label matched source text
DL017,Lady Irwin College,Lady Irwin College,10,normalized label matched source text
DL018,Akshay Pratishthan,Akshay Pratishthan,10,normalized label matched source text
DL019,Institute of Human Behaviour & Allied Sciences (IHBAS),Institute of Human Behaviour & Allied Sciences (IHBAS),10,normalized label matched source text
DL020,Durgabai Deshmukh College of Special Education,Durgabai Deshmukh College of Special Education,10,normalized label matched source text
DL021,Manovikas Comprehensive Rehabilitation and Research Centre,Manovikas Comprehensive Rehabilitation and Research Centre,10,normalized label matched source text
DL022,Vision Institute of Advanced Studies,Vision Institute of Advanced Studies,10,normalized label matched source text
DL025,Dr. Ram Manohar Lohia Hospital,Dr. Ram Manohar Lohia Hospital,11,normalized label matched source text
DL026,Savitribai Phule National Institute of Women and Child Development,Savitribai Phule National Institute of Women and Child Development,11,normalized label matched source text
DL028,Ashtavakra Institute of Rehabilitation Sciences & Research,Ashtavakra Institute of Rehabilitation Sciences & Research,11,normalized label matched source text
DL029,"K.S. MEMORIAL, R1-R2","K.S. MEMORIAL, R1-R2",11,normalized label matched source text
DL030,Viklang Avam Punarvas Kendra 218,Viklang Avam Punarvas Kendra 218,11,normalized label matched source text
DL031,Indian Sign Language Research & Training Centre (ISLRTC),Indian Sign Language Research & Training Centre (ISLRTC),11,normalized label matched source text
DL032,Ashtavakra Institute of Rehabilitation Sciences & Research,Ashtavakra Institute of Rehabilitation Sciences & Research,12,normalized label matched source text
DL033,Association For Advancement and Rehabilitation of Handicapped C/o Navjyoti Institute,Association For Advancement and Rehabilitation of Handicapped C/o Navjyoti Institute,12,normalized label matched source text
DL034,"CBSM, Delhi Handicapped Site Dwarka","CBSM, Delhi Handicapped Site Dwarka",12,normalized label matched source text
DL035,National Trust for the Handicapped,National Trust for the Handicapped,12,normalized label matched source text
DL036,"Shristi C-272, Vivek Vihar","Shristi C-272, Vivek Vihar",12,normalized label matched source text
DL037,Tecnia Institute of Teacher Education F-19,Tecnia Institute of Teacher Education F-19,13,normalized label matched source text
DL038,DIRD College of Special Education GT Karnal Road,DIRD College of Special Education GT Karnal Road,13,normalized label matched source text
DL039,National Forensic Science University (An Institution of National Importance) Delhi Campus,National Forensic Science University (An Institution of National Importance) Delhi Campus,13,normalized label matched source text
