jurisdictions_cumulative,jurisdiction_fraction,institutions_cumulative,institution_fraction
0,0,0,0
1,0.027777777777777776,0,0.0
2,0.05555555555555555,0,0.0
3,0.08333333333333333,0,0.0
4,0.1111111111111111,0,0.0
5,0.1388888888888889,1,0.0009363295880149813
6,0.16666666666666666,3,0.0028089887640449437
7,0.19444444444444445,6,0.0056179775280898875
8,0.2222222222222222,9,0.008426966292134831
9,0.25,12,0.011235955056179775
10,0.2777777777777778,15,0.014044943820224719
11,0.3055555555555556,19,0.017790262172284643
12,0.3333333333333333,23,0.02153558052434457
13,0.3611111111111111,27,0.025280898876404494
14,0.3888888888888889,31,0.02902621722846442
15,0.4166666666666667,36,0.033707865168539325
16,0.4444444444444444,41,0.03838951310861423
17,0.4722222222222222,46,0.04307116104868914
18,0.5,53,0.04962546816479401
19,0.5277777777777778,68,0.06367041198501873
20,0.5555555555555556,83,0.07771535580524344
21,0.5833333333333334,101,0.0945692883895131
22,0.6111111111111112,120,0.11235955056179775
23,0.6388888888888888,140,0.13108614232209737
24,0.6666666666666666,161,0.150749063670412
25,0.6944444444444444,189,0.17696629213483145
26,0.7222222222222222,221,0.20692883895131087
27,0.75,254,0.23782771535580524
28,0.7777777777777778,287,0.2687265917602996
29,0.8055555555555556,323,0.30243445692883897
30,0.8333333333333334,362,0.3389513108614232
31,0.8611111111111112,405,0.3792134831460674
32,0.8888888888888888,452,0.4232209737827715
33,0.9166666666666666,511,0.47846441947565543
34,0.9444444444444444,586,0.548689138576779
35,0.9722222222222222,814,0.7621722846441947
36,1.0,1068,1.0
