source_page,source_y_top_pt,source_heading,canonical_state_ut
1,82,ANDHRA PRADESH,Andhra Pradesh
3,440,ARUNACHAL PRADESH,Arunachal Pradesh
4,110,ASSAM,Assam
4,574,BIHAR,Bihar
6,412,CHANDIGARH,Chandigarh
7,232,CHATTISGARH,Chhattisgarh
8,580,DELHI,Delhi
13,360,GOA,Goa
13,536,GUJARAT,Gujarat
15,584,HARYANA,Haryana
25,132,HIMACHAL PRADESH,Himachal Pradesh
25,688,JAMMU & KASHMIR,Jammu and Kashmir
26,206,JHARKHAND,Jharkhand
27,708,KARNATAKA,Karnataka
32,410,KERALA,Kerala
36,492,LADAKH,Ladakh
36,540,MADHYA PRADESH,Madhya Pradesh
41,362,MAHARASHTRA,Maharashtra
47,778,MIZORAM,Mizoram
48,238,MANIPUR,Manipur
48,640,MEGHALAYA,Meghalaya
49,168,ORISSA,Odisha
52,740,PONDICHERRY,Puducherry
53,336,PUNJAB,Punjab
55,124,RAJASTHAN,Rajasthan
73,528,SIKKIM,Sikkim
73,726,TAMILNADU,Tamil Nadu
80,232,TELANGANA,Telangana
83,396,TRIPURA,Tripura
83,688,UTTAR PRADESH,Uttar Pradesh
109,458,UTTRANCHAL,Uttarakhand
110,268,WEST BENGAL,West Bengal
