rank_order,state_ut,jurisdiction_type,institutions_listed,share_percent,cumulative_count_descending,cumulative_percent_descending,listing_status
1,Uttar Pradesh,State,254,23.782771535580526,254,23.782771535580526,listed
2,Rajasthan,State,228,21.348314606741575,482,45.1310861423221,listed
3,Haryana,State,75,7.022471910112359,557,52.153558052434455,listed
4,Maharashtra,State,59,5.52434456928839,616,57.67790262172284,listed
5,Madhya Pradesh,State,47,4.400749063670412,663,62.07865168539326,listed
6,Tamil Nadu,State,43,4.02621722846442,706,66.10486891385767,listed
7,Karnataka,State,39,3.651685393258427,745,69.7565543071161,listed
8,Odisha,State,36,3.3707865168539324,781,73.12734082397004,listed
9,Delhi,Union territory,33,3.0898876404494384,814,76.21722846441948,listed
10,Kerala,State,33,3.0898876404494384,847,79.30711610486891,listed
11,West Bengal,State,32,2.9962546816479403,879,82.30337078651685,listed
12,Andhra Pradesh,State,28,2.6217228464419478,907,84.9250936329588,listed
13,Punjab,State,21,1.9662921348314606,928,86.89138576779027,listed
14,Telangana,State,20,1.8726591760299625,948,88.76404494382022,listed
15,Gujarat,State,19,1.7790262172284643,967,90.54307116104869,listed
16,Jharkhand,State,18,1.6853932584269662,985,92.22846441947566,listed
17,Bihar,State,15,1.404494382022472,1000,93.63295880149813,listed
18,Chhattisgarh,State,15,1.404494382022472,1015,95.0374531835206,listed
19,Himachal Pradesh,State,7,0.6554307116104869,1022,95.69288389513109,listed
20,Assam,State,5,0.4681647940074906,1027,96.16104868913858,listed
21,Chandigarh,Union territory,5,0.4681647940074906,1032,96.62921348314607,listed
22,Manipur,State,5,0.4681647940074906,1037,97.09737827715355,listed
23,Arunachal Pradesh,State,4,0.37453183520599254,1041,97.47191011235955,listed
24,Puducherry,Union territory,4,0.37453183520599254,1045,97.84644194756554,listed
25,Sikkim,State,4,0.37453183520599254,1049,98.22097378277154,listed
26,Uttarakhand,State,4,0.37453183520599254,1053,98.59550561797752,listed
27,Goa,State,3,0.2808988764044944,1056,98.87640449438203,listed
28,Jammu and Kashmir,Union territory,3,0.2808988764044944,1059,99.15730337078652,listed
29,Meghalaya,State,3,0.2808988764044944,1062,99.43820224719101,listed
30,Mizoram,State,3,0.2808988764044944,1065,99.71910112359551,listed
31,Tripura,State,2,0.18726591760299627,1067,99.90636704119851,listed
32,Ladakh,Union territory,1,0.09363295880149813,1068,100.0,listed
33,Andaman and Nicobar Islands,Union territory,0,0.0,1068,100.0,not_present_in_source
34,Dadra and Nagar Haveli and Daman and Diu,Union territory,0,0.0,1068,100.0,not_present_in_source
35,Lakshadweep,Union territory,0,0.0,1068,100.0,not_present_in_source
36,Nagaland,State,0,0.0,1068,100.0,not_present_in_source
